level,subject,question,answer
Year 2 Card 1,M,What is 2 x 5?,10
Year 2 Card 1,S,Is a stone living or non-living?,Non-living
Year 2 Card 1,E,Which word is a verb: "The cat sat"?,Sat
Year 2 Card 1,H,When did the Great Fire of London start?,1666
Year 2 Card 1,G,What is the capital of England?,London
Year 2 Card 1,C,What is a set of computer instructions?,Algorithm
Year 2 Card 2,M,How many sides does a triangle have?,3
Year 2 Card 2,S,Name a material that is waterproof.,Plastic
Year 2 Card 2,E,What mark ends a question?,Question mark
Year 2 Card 2,H,Who was the "Lady with the Lamp"?,Florence Nightingale
Year 2 Card 2,G,Name the four countries of the UK.,Eng Scot Wales NI
Year 2 Card 2,C,Is a mouse used for input or output?,Input
Year 2 Card 3,M,What is 10 + 10 + 10?,30
Year 2 Card 3,S,What do plants need to grow?,Water and Light
Year 2 Card 3,E,Find the adjective: "The red bus".,Red
Year 2 Card 3,H,Where did the Great Fire start?,Pudding Lane
Year 2 Card 3,G,Is Eastbourne a city or a town?,Town
Year 2 Card 3,C,Should you share passwords with friends?,No
Year 2 Card 4,M,What is half of 20?,10
Year 2 Card 4,S,Name an animal that eats meat.,Lion
Year 2 Card 4,E,What is the plural of "Fox"?,Foxes
Year 2 Card 4,H,Which King reigned in 1666?,Charles II
Year 2 Card 4,G,Which ocean is west of the UK?,Atlantic Ocean
Year 2 Card 4,C,What device do we use to type?,Keyboard
Year 2 Card 5,M,How many cm in 1 metre?,100
Year 2 Card 5,S,Is wood natural or man-made?,Natural
Year 2 Card 5,E,Split "Raincoat" into two syllables.,Rain - coat
Year 2 Card 5,H,Why did the fire spread fast?,Wooden houses
Year 2 Card 5,G,Name a cold place on Earth.,North Pole
Year 2 Card 5,C,Is a tablet hardware or software?,Hardware
Year 2 Card 6,M,What is 5 x 10?,50
Year 2 Card 6,S,Which part of a plant sucks up water?,Roots
Year 2 Card 6,E,Which letter is silent in "Knee"?,K
Year 2 Card 6,H,How did people fight the Great Fire?,Leather buckets
Year 2 Card 6,G,What is the weather like at the Equator?,Hot
Year 2 Card 6,C,What is a Beebot?,A floor robot
Year 2 Card 7,M,Is 13 an odd or even number?,Odd
Year 2 Card 7,S,What happens to ice when heated?,It melts
Year 2 Card 7,E,Fix the sentence: "i like dogs".,Capital I
Year 2 Card 7,H,What did Samuel Pepys write?,A diary
Year 2 Card 7,G,What is an island?,Land with water around
Year 2 Card 7,C,Name a search engine.,Google
Year 2 Card 8,M,What is 100 - 10?,90
Year 2 Card 8,S,Name a nocturnal animal.,Owl
Year 2 Card 8,E,Rhyme a word with "Cat".,Hat
Year 2 Card 8,H,Who built the first castles?,The Normans
Year 2 Card 8,G,Where is Cavendish School located?,Eastbourne
Year 2 Card 8,C,Is a screen input or output?,Output
Year 2 Card 9,M,What shape has 4 equal sides?,Square
Year 2 Card 9,S,Do fish breathe air?,Yes from water
Year 2 Card 9,E,What is the opposite of "High"?,Low
Year 2 Card 9,H,Is a 1920s car an artifact?,Yes
Year 2 Card 9,G,Name the capital of Scotland.,Edinburgh
Year 2 Card 9,C,What is an iPad?,A tablet
Year 2 Card 10,M,What is 3 groups of 2?,6
Year 2 Card 10,S,Is a spoon absorbent?,No
Year 2 Card 10,E,Spell the number 2.,Two
Year 2 Card 10,H,Who is our current King?,Charles III
Year 2 Card 10,G,Where do penguins live?,Antarctica
Year 2 Card 10,C,Can you send a letter by computer?,Yes via Email
Year 2 Card 11,M,What is double 4?,8
Year 2 Card 11,S,Name a material that is transparent.,Glass
Year 2 Card 11,E,What is a noun?,Person place or thing
Year 2 Card 11,H,Did the fire happen in Summer?,Yes
Year 2 Card 11,G,Is the UK in Europe?,Yes
Year 2 Card 11,C,What does www mean?,World Wide Web
Year 2 Card 12,M,How many corners on a circle?,0
Year 2 Card 12,S,Name a bird found in gardens.,Robin
Year 2 Card 12,E,What is a full stop for?,End of sentence
Year 2 Card 12,H,What color is a poppy?,Red
Year 2 Card 12,G,What is a map key?,List of symbols
Year 2 Card 12,C,What to do if you see bad content?,Tell an adult
Year 6 Card 1,M,What is 12 squared?,144
Year 6 Card 1,S,Who developed the theory of Evolution?,Charles Darwin
Year 6 Card 1,E,What is the subject: "The dog barked"?,The dog
Year 6 Card 1,H,When was World War II?,1939 to 1945
Year 6 Card 1,G,What is 0 degrees latitude called?,The Equator
Year 6 Card 1,C,What is a variable in code?,A changing value
Year 6 Card 2,M,Calculate 10% of 350.,35
Year 6 Card 2,S,What force pulls us to Earth?,Gravity
Year 6 Card 2,E,Define "Synonym".,Word with same meaning
Year 6 Card 2,H,What was the "Blackout"?,Lights off at night
Year 6 Card 2,G,What causes day and night?,Earth's rotation
Year 6 Card 2,C,What does HTML stand for?,HyperText Markup Lang
Year 6 Card 3,M,What is 0.75 as a fraction?,3/4
Year 6 Card 3,S,How does light travel?,Straight lines
Year 6 Card 3,E,Name the modal verb: "I might go".,Might
Year 6 Card 3,H,Who were the "Allies"?,UK USA France USSR
Year 6 Card 3,G,Name the 3 types of settlement.,Village Town City
Year 6 Card 3,C,Is a printer input or output?,Output
Year 6 Card 4,M,Sum of angles in a triangle?,180 degrees
Year 6 Card 4,S,Which blood cells fight infection?,White blood cells
Year 6 Card 4,E,What is a "relative clause"?,Starts with who/that
Year 6 Card 4,H,What was the "Blitz"?,Bombing of cities
Year 6 Card 4,G,What is the capital of France?,Paris
Year 6 Card 4,C,What is "Phishing"?,Email data scam
Year 6 Card 5,M,Simplify the fraction 4/8.,1/2
Year 6 Card 5,S,Is a human a mammal?,Yes
